term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,analysis_scope,cohort,model,covariance
ucla3_T1,Loneliness at T1,-0.00189003140981,0.00432375303601,-0.0103663944183,0.00658633159863,-0.43712751262,5227,0.662036933608,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
delta_loneliness,Change in loneliness,-0.00704064260599,0.00653996627083,-0.019861709793,0.00578042458097,-1.07655640938,5227,0.281728171828,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00954616158583,0.00031655381372,-0.0101667393604,-0.00892558381128,-30.1565205411,5227,2.48049693274e-184,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
male,Male vs Female,0.0195747623921,0.00355923825731,0.0125971678691,0.026552356915,5.49970554847,5227,3.98508017188e-08,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
education,Education (years),-0.00229937627533,0.000663637009184,-0.00360038217202,-0.000998370378642,-3.4648101952,5227,0.00053486844665,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0128249810317,0.00578638165133,0.00148125465008,0.0241687074132,2.21640773189,5227,0.0267064860707,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
race_hispanic,Hispanic vs White non-Hispanic,0.0132509750521,0.00720885295454,-0.0008813895877,0.0273833396918,1.83815305093,5227,0.0660965682554,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
race_other,Other non-Hispanic vs White non-Hispanic,0.0307833338603,0.0142574869766,0.00283270064992,0.0587339670706,2.15909956017,5227,0.0308878010545,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00121570401123,0.00171105983855,-0.00457009641059,0.00213868838814,-0.710497659893,5227,0.477427279994,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0129942251752,0.00563089005937,0.00195532729956,0.0240331230508,2.30766806636,5227,0.0210564765484,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
marital_widowed,Widowed vs married/partnered,0.0144080288619,0.00429093988431,0.00599599334462,0.0228200643792,3.35777923959,5227,0.000791328611334,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
marital_never_married,Never married vs married/partnered,0.0316670232019,0.00699132496827,0.0179611043283,0.0453729420755,4.5294737901,5227,6.04462767199e-06,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
