term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
delta_x_increased,Loneliness change x increased contact,-0.0125229944172,0.0098243530343,-0.0317829914233,0.00673700258897,-1.27468896664,5047,0.202478035202,friends,Friends,Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.0240418622313,0.0133811806987,-0.0502747855898,0.00219106112722,-1.79669214344,5047,0.0724442792004,friends,Friends,Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.0176121608979,0.0114296699967,-0.0400192760686,0.00479495427276,-1.54091595847,5047,0.123399933143,friends,Friends,Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00964868871136,0.000321799415539,-0.010279555269,-0.00901782215371,-29.9835495201,5047,6.39302816594e-182,friends,Friends,Model 3
male,Male vs Female,0.0208435583285,0.00364592944552,0.0136959538033,0.0279911628538,5.7169395733,5047,1.14692152222e-08,friends,Friends,Model 3
education,Education (years),-0.00226720699388,0.000683500770163,-0.00360716523246,-0.000927248755298,-3.31705111808,5047,0.000916165038734,friends,Friends,Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0148585229492,0.00595132375307,0.00319134473737,0.026525701161,2.49667528867,5047,0.0125680062867,friends,Friends,Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0145474615171,0.00749047181046,-0.000137115079498,0.0292320381137,1.9421288652,5047,0.0521770657808,friends,Friends,Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0357858661963,0.0137040298251,0.00892001839118,0.0626517140015,2.61133890199,5047,0.00904553936303,friends,Friends,Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000961033193192,0.00172626632297,-0.00434526461242,0.00242319822604,-0.556712009266,5047,0.577748894156,friends,Friends,Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0137938565869,0.0057365307811,0.00254776584855,0.0250399473253,2.40456420671,5047,0.0162275607165,friends,Friends,Model 3
marital_widowed,Widowed vs married/partnered,0.0156004751263,0.00436771077642,0.00703786584468,0.024163084408,3.57177384788,5047,0.00035787758569,friends,Friends,Model 3
marital_never_married,Never married vs married/partnered,0.0304132661987,0.00714995796848,0.0163962445601,0.0444302878373,4.25362866926,5047,2.14139851531e-05,friends,Friends,Model 3
