f_statistic,df_numerator,df_denominator,p_value,wald_chi_square,chi_square_df,chi_square_p_value,domain,domain_label,N,change_reference,contact_reference,covariance,descriptive_bh_rank,descriptive_bh_adjusted_p,multiplicity_note
1.62528517903,6,5043,0.135756988997,9.75171107419,6,0.135504971343,friends,Friends,5068,stable,maintained_frequent,HC3,2,0.203635483495,Descriptive BH context across the three categorical-change sensitivity tests; not the prespecified primary testing family
2.24189820437,6,5055,0.0365729893919,13.4513892262,6,0.03640231608,other_relatives,Other relatives,5080,stable,maintained_frequent,HC3,1,0.109718968176,Descriptive BH context across the three categorical-change sensitivity tests; not the prespecified primary testing family
1.11115233542,6,4692,0.352939258224,6.66691401254,6,0.352751646443,children,Children,4717,stable,maintained_frequent,HC3,3,0.352939258224,Descriptive BH context across the three categorical-change sensitivity tests; not the prespecified primary testing family
