term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
decreasing_x_decreased,Decreasing loneliness x decreased contact,0.0166786925262,0.0140163217392,-0.0107993725751,0.0441567576274,1.18994789335,5055,0.234122755906,other_relatives,Other relatives,Categorical-change Model 3
decreasing_x_maintained_infrequent,Decreasing loneliness x maintained infrequent,0.0277374768371,0.0101796048628,0.00778103959699,0.0476939140772,2.72480879276,5055,0.00645601241641,other_relatives,Other relatives,Categorical-change Model 3
increasing_x_increased,Increasing loneliness x increased contact,0.0111776676502,0.0131914148853,-0.0146832225134,0.0370385578139,0.847344105798,5055,0.396843464755,other_relatives,Other relatives,Categorical-change Model 3
increasing_x_decreased,Increasing loneliness x decreased contact,-0.0126430734562,0.0133118604841,-0.038740089193,0.0134539422807,-0.94976006331,5055,0.342279586918,other_relatives,Other relatives,Categorical-change Model 3
increasing_x_maintained_infrequent,Increasing loneliness x maintained infrequent,0.00918356465124,0.00948683826756,-0.00941474982603,0.0277818791285,0.968032171756,5055,0.333074614386,other_relatives,Other relatives,Categorical-change Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00955077704152,0.000319070326919,-0.0101762931632,-0.00892526091981,-29.933140865,5055,2.19358884722e-181,other_relatives,Other relatives,Categorical-change Model 3
male,Male vs Female,0.0197353052181,0.00364191430423,0.0125955748233,0.0268750356129,5.41893728669,5055,6.27351531635e-08,other_relatives,Other relatives,Categorical-change Model 3
education,Education (years),-0.00207210657669,0.000688696444427,-0.00342225007989,-0.000721963073493,-3.00873714894,5055,0.0026362916405,other_relatives,Other relatives,Categorical-change Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0133698020523,0.0059966150434,0.0016138377119,0.0251257663926,2.22955816832,5055,0.0258205515137,other_relatives,Other relatives,Categorical-change Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0149669345945,0.00740927497939,0.000441544551058,0.0294923246379,2.0200268766,5055,0.0434332496156,other_relatives,Other relatives,Categorical-change Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0307033239219,0.0146834661946,0.00191736655635,0.0594892812874,2.09101335577,5055,0.0365766747916,other_relatives,Other relatives,Categorical-change Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000762748395377,0.00174932410008,-0.00419218176594,0.00266668497518,-0.436024631081,5055,0.662837478152,other_relatives,Other relatives,Categorical-change Model 3
