estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,comparison,cohort_or_difference,formal_equality_test,N,model,covariance,reference_cohort,effect_unit
-0.00704064260599,0.00653996627083,-0.019861709793,0.00578042458097,-1.07655640938,5227,0.281728171828,Cohort A loneliness-change slope,A,False,5243,Pooled Model 3 plus loneliness-change-by-cohort interaction,HC3,Cohort A,Adjusted T3 cognition difference per one-point UCLA-3 loneliness change
-0.0167670840391,0.00625360423095,-0.0290267619465,-0.00450740613172,-2.68118726736,5227,0.00735918341586,Cohort B loneliness-change slope,B,False,5243,Pooled Model 3 plus loneliness-change-by-cohort interaction,HC3,Cohort A,Adjusted T3 cognition difference per one-point UCLA-3 loneliness change
-0.00972644143314,0.00820398076848,-0.0258096724893,0.00635678962302,-1.18557584514,5227,0.235843739472,Cohort B minus Cohort A slope difference,B minus A,True,5243,Pooled Model 3 plus loneliness-change-by-cohort interaction,HC3,Cohort A,Adjusted T3 cognition difference per one-point UCLA-3 loneliness change
