N,parameters,df_residual,r_squared,adjusted_r_squared,rmse,condition_number,domain,domain_label,model
5068,10,5058,0.972191052937,0.972141570825,0.13173974972,18.5970290414,friends,Friends,Model 1
5068,16,5052,0.977083965775,0.977015925294,0.119660836366,109.305974624,friends,Friends,Model 2
5068,21,5047,0.977194599827,0.977104227724,0.119430752906,110.463267742,friends,Friends,Model 3
5080,10,5070,0.972606239246,0.972557611268,0.131826023802,20.1417060687,other_relatives,Other relatives,Model 1
5080,16,5064,0.977243040137,0.977175632081,0.120223557959,115.226685227,other_relatives,Other relatives,Model 2
5080,21,5059,0.977342834506,0.97725326279,0.120018930397,116.321786908,other_relatives,Other relatives,Model 3
4717,10,4707,0.972096013012,0.972042659308,0.131995914221,19.2540870064,children,Children,Model 1
4717,16,4701,0.976710549625,0.976636237403,0.120665731838,114.103201089,children,Children,Model 2
4717,21,4696,0.976843892835,0.976745272277,0.120383838911,182.568891842,children,Children,Model 3
