term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,cohort,model
race_hispanic,Hispanic vs White non-Hispanic,0.0120280592834,0.0098617272294,-0.00731029111726,0.0313664096842,1.21967065238,2408,0.222709196748,friends,Friends,B,Cohort-specific Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0183978905169,0.0131917444422,-0.00747045591833,0.0442662369522,1.39465182922,2408,0.16324949754,friends,Friends,B,Cohort-specific Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000276639285027,0.00252438566096,-0.00522683242287,0.00467355385281,-0.109586775628,2408,0.91274623037,friends,Friends,B,Cohort-specific Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0181664177149,0.00770730942079,0.00305277212742,0.0332800633025,2.35703755009,2408,0.0185010222461,friends,Friends,B,Cohort-specific Model 3
marital_widowed,Widowed vs married/partnered,0.0156935324514,0.00638378475917,0.00317525206458,0.0282118128381,2.45834298044,2408,0.0140279207419,friends,Friends,B,Cohort-specific Model 3
marital_never_married,Never married vs married/partnered,0.033889898267,0.0100764058049,0.0141305739923,0.0536492225417,3.36329232102,2408,0.000782239624703,friends,Friends,B,Cohort-specific Model 3
Intercept,Intercept,-0.237636799757,0.0174241971478,-0.271803394545,-0.20347020497,-13.638321338,2618,5.75194641603e-41,other_relatives,Other relatives,A,Cohort-specific Model 3
cog_T2,Cognition at T2,1.07700270264,0.00439851871975,1.06837777688,1.08562762839,244.855773331,2618,0,other_relatives,Other relatives,A,Cohort-specific Model 3
ucla3_T1,Loneliness at T1,5.47702929321e-05,0.00583519988782,-0.0113873012343,0.0114968418202,0.00938618967388,2618,0.99251172929,other_relatives,Other relatives,A,Cohort-specific Model 3
delta_loneliness,Change in loneliness,0.00170973477553,0.0118625978757,-0.0215512838702,0.0249707534213,0.144128191265,2618,0.885410336915,other_relatives,Other relatives,A,Cohort-specific Model 3
contact_increased,Increased contact vs maintained frequent,0.0048648045177,0.00717501892923,-0.00920447869037,0.0189340877258,0.678019746803,2618,0.497819091828,other_relatives,Other relatives,A,Cohort-specific Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.00685259670374,0.00769701235496,-0.0219454414399,0.00824024803243,-0.890293062778,2618,0.373390349858,other_relatives,Other relatives,A,Cohort-specific Model 3
